Player,Adjusted Pos Rank
Jahmyr Gibbs,1.0
Bijan Robinson,2.0
Christian McCaffrey,3.0
Jonathan Taylor,4.0
James Cook III,5.0
Saquon Barkley,6.0
Chase Brown,7.0
De'Von Achane,8.0
Derrick Henry,9.0
Ashton Jeanty,10.0
Omarion Hampton,11.0
Kenneth Walker III,12.0
Kyren Williams,13.0
Breece Hall,14.0
Travis Etienne Jr.,15.0
Cam Skattebo,16.0
Javonte Williams,17.0
Bhayshul Tuten,18.0
Quinshon Judkins,19.0
Bucky Irving,20.0
TreVeyon Henderson,21.0
Josh Jacobs,22.0
David Montgomery,23.0
D'Andre Swift,24.0
Jeremiyah Love,25.0
Jaylen Warren,26.0
Rhamondre Stevenson,27.0
Jadarian Price,28.0
Chuba Hubbard,29.0
Tony Pollard,30.0
Rico Dowdle,31.0
Kyle Monangai,32.0
Blake Corum,33.0
J.K. Dobbins,34.0
Jonathon Brooks,35.0
RJ Harvey,36.0
Rachaad White,37.0
Jordan Mason,38.0
Kenny Gainwell,39.0
Jacory Croskey-Merritt,40.0
Chris Rodriguez Jr.,41.0
Aaron Jones Sr.,42.0
Tyrone Tracy Jr.,43.0
Keaton Mitchell,44.0
Tyler Allgeier,45.0
Woody Marks,46.0
Zach Charbonnet,47.0
Tank Bigsby,48.0
Tyjae Spears,49.0
Alvin Kamara,50.0
Brian Robinson,51.0
Isiah Pacheco,52.0
Jonah Coleman,53.0
Dylan Sampson,54.0
Ray Davis,55.0
Kaytron Allen,56.0
Braelon Allen,57.0
Nicholas Singleton,58.0
Jaydon Blue,59.0
Emmett Johnson,60.0
MarShawn Lloyd,61.0
Mike Washington Jr.,62.0
James Conner,63.0
Demond Claiborne,64.0
George Holani,65.0
Isaiah Davis,66.0
Sean Tucker,67.0
Jordan James,68.0
Justice Hill,69.0
Kimani Vidal,70.0
Ollie Gordon II,71.0
Chris Brooks,72.0
Kaelon Black,73.0
Emanuel Wilson,74.0
Jaylen Wright,75.0
Ja'Marr Chase,1.0
Jaxon Smith-Njigba,2.0
Amon-Ra St. Brown,3.0
Puka Nacua,4.0
CeeDee Lamb,5.0
Justin Jefferson,6.0
Drake London,7.0
Nico Collins,8.0
George Pickens,9.0
A.J. Brown,10.0
DeVonta Smith,11.0
Tee Higgins,12.0
Rashee Rice,13.0
Chris Olave,14.0
Zay Flowers,15.0
Malik Nabers,16.0
Jaylen Waddle,17.0
Tetairoa McMillan,18.0
Garrett Wilson,19.0
Ladd McConkey,20.0
Emeka Egbuka,21.0
Terry McLaurin,22.0
Luther Burden III,23.0
Davante Adams,24.0
Rome Odunze,25.0
Christian Watson,26.0
Jameson Williams,27.0
Mike Evans,28.0
DJ Moore,29.0
Parker Washington,30.0
Brian Thomas Jr.,31.0
Carnell Tate,32.0
Marvin Harrison Jr.,33.0
Alec Pierce,34.0
Jordyn Tyson,35.0
DK Metcalf,36.0
Quentin Johnston,37.0
Chris Godwin Jr.,38.0
Courtland Sutton,39.0
Makai Lemon,40.0
Jordan Addison,41.0
Ricky Pearsall,42.0
Josh Downs,43.0
Jayden Reed,44.0
Michael Wilson,45.0
Michael Pittman Jr.,46.0
Jakobi Meyers,47.0
Xavier Worthy,48.0
Matthew Golden,49.0
Jalen Coker,50.0
Jayden Higgins,51.0
Romeo Doubs,52.0
Wan'Dale Robinson,53.0
KC Concepcion,54.0
Rashid Shaheed,55.0
Stefon Diggs,56.0
Jalen McMillan,57.0
Khalil Shakir,58.0
Jalen Nailor,59.0
Adonai Mitchell,60.0
Travis Hunter,61.0
Omar Cooper Jr.,62.0
Ryan Flournoy,63.0
Jauan Jennings,64.0
Denzel Boston,65.0
Tre Tucker,66.0
Jerry Jeudy,67.0
Deebo Samuel Sr.,68.0
Antonio Williams,69.0
Isaac TeSlaa,70.0
De'Zhaun Stribling,71.0
Calvin Ridley,72.0
Tre' Harris,73.0
Jaylin Noel,74.0
Malik Washington,75.0
Brock Bowers,1.0
Trey McBride,2.0
Colston Loveland,3.0
Tyler Warren,4.0
Tucker Kraft,5.0
Sam LaPorta,6.0
Harold Fannin Jr.,7.0
Kyle Pitts Sr.,8.0
George Kittle,9.0
Dalton Kincaid,10.0
Travis Kelce,11.0
Dallas Goedert,12.0
Isaiah Likely,13.0
Mark Andrews,14.0
Jake Ferguson,15.0
Chig Okonkwo,16.0
Brenton Strange,17.0
Oronde Gadsden,18.0
Hunter Henry,19.0
Juwan Johnson,20.0
Greg Dulcich,21.0
AJ Barner,22.0
Kenyon Sadiq,23.0
T.J. Hockenson,24.0
Dalton Schultz,25.0
Terrance Ferguson,26.0
Gunnar Helm,27.0
Cade Otton,28.0
Colby Parkinson,29.0
Eli Stowers,30.0
Pat Freiermuth,31.0
Darnell Washington,32.0
Tyler Higbee,33.0
Evan Engram,34.0
Mike Gesicki,35.0
David Njoku,36.0
Charlie Kolar,37.0
Erick All Jr.,38.0
Michael Mayer,39.0
Eli Raridon,40.0
Mason Taylor,41.0
Oscar Delp,42.0
Jake Tonges,43.0
Theo Johnson,44.0
