pick_number,round,orig_owner,team
1,1,Let's Ride,Let's Ride
2,1,Let Kelce Cook,Let Kelce Cook
3,1,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
4,1,Couch Potatoes,Couch Potatoes
5,1,Griddy Little Liars,Griddy Little Liars
6,1,Tyreek’s Left Knee,Tyreek’s Left Knee
7,1,Andrews Hall Pass,Let's Ride
8,1,Pukachu,Couch Potatoes
9,1,I’m Sorry Smith-Jaxon,I’m Sorry Smith-Jaxon
10,1,Shake n' Bake,Shake n' Bake
11,1,All Aboard the Achane,All Aboard the Achane
12,1,Allen the Family 🦬,Allen the Family 🦬
13,1,Sutton Ducks,Sutton Ducks
14,1,The Hoodie,The Hoodie
15,2,The Hoodie,The Hoodie
16,2,Sutton Ducks,Sutton Ducks
17,2,Allen the Family 🦬,Allen the Family 🦬
18,2,All Aboard the Achane,All Aboard the Achane
19,2,Shake n' Bake,Shake n' Bake
20,2,I’m Sorry Smith-Jaxon,I’m Sorry Smith-Jaxon
21,2,Pukachu,Pukachu
22,2,Andrews Hall Pass,Andrews Hall Pass
23,2,Tyreek’s Left Knee,Tyreek’s Left Knee
24,2,Griddy Little Liars,Griddy Little Liars
25,2,Couch Potatoes,Couch Potatoes
26,2,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
27,2,Let Kelce Cook,Let Kelce Cook
28,2,Let's Ride,Let's Ride
29,3,Let's Ride,Let's Ride
30,3,Let Kelce Cook,Let Kelce Cook
31,3,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
32,3,Couch Potatoes,Couch Potatoes
33,3,Griddy Little Liars,Griddy Little Liars
34,3,Tyreek’s Left Knee,Tyreek’s Left Knee
35,3,Andrews Hall Pass,Andrews Hall Pass
36,3,Pukachu,Let's Ride
37,3,I’m Sorry Smith-Jaxon,I’m Sorry Smith-Jaxon
38,3,Shake n' Bake,Shake n' Bake
39,3,All Aboard the Achane,All Aboard the Achane
40,3,Allen the Family 🦬,Allen the Family 🦬
41,3,Sutton Ducks,Sutton Ducks
42,3,The Hoodie,Couch Potatoes
43,4,The Hoodie,Let's Ride
44,4,Sutton Ducks,Sutton Ducks
45,4,Allen the Family 🦬,Allen the Family 🦬
46,4,All Aboard the Achane,All Aboard the Achane
47,4,Shake n' Bake,Shake n' Bake
48,4,I’m Sorry Smith-Jaxon,I’m Sorry Smith-Jaxon
49,4,Pukachu,Pukachu
50,4,Andrews Hall Pass,Andrews Hall Pass
51,4,Tyreek’s Left Knee,Tyreek’s Left Knee
52,4,Griddy Little Liars,Griddy Little Liars
53,4,Couch Potatoes,Couch Potatoes
54,4,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
55,4,Let Kelce Cook,Let Kelce Cook
56,4,Let's Ride,Let's Ride
57,5,Let's Ride,Pukachu
58,5,Let Kelce Cook,Let Kelce Cook
59,5,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
60,5,Couch Potatoes,Couch Potatoes
61,5,Griddy Little Liars,Griddy Little Liars
62,5,Tyreek’s Left Knee,Tyreek’s Left Knee
63,5,Andrews Hall Pass,Let Kelce Cook
64,5,Pukachu,Pukachu
65,5,I’m Sorry Smith-Jaxon,I’m Sorry Smith-Jaxon
66,5,Shake n' Bake,Griddy Little Liars
67,5,All Aboard the Achane,All Aboard the Achane
68,5,Allen the Family 🦬,Allen the Family 🦬
69,5,Sutton Ducks,Sutton Ducks
70,5,The Hoodie,The Hoodie
71,6,The Hoodie,The Hoodie
72,6,Sutton Ducks,Sutton Ducks
73,6,Allen the Family 🦬,Allen the Family 🦬
74,6,All Aboard the Achane,Let Kelce Cook
75,6,Shake n' Bake,Shake n' Bake
76,6,I’m Sorry Smith-Jaxon,I’m Sorry Smith-Jaxon
77,6,Pukachu,Pukachu
78,6,Andrews Hall Pass,Andrews Hall Pass
79,6,Tyreek’s Left Knee,Tyreek’s Left Knee
80,6,Griddy Little Liars,Griddy Little Liars
81,6,Couch Potatoes,Couch Potatoes
82,6,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
83,6,Let Kelce Cook,Let Kelce Cook
84,6,Let's Ride,The Hoodie
85,7,Let's Ride,Let's Ride
86,7,Let Kelce Cook,Let Kelce Cook
87,7,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
88,7,Couch Potatoes,Couch Potatoes
89,7,Griddy Little Liars,Griddy Little Liars
90,7,Tyreek’s Left Knee,Tyreek’s Left Knee
91,7,Andrews Hall Pass,Let's Ride
92,7,Pukachu,Pukachu
93,7,I’m Sorry Smith-Jaxon,I’m Sorry Smith-Jaxon
94,7,Shake n' Bake,Shake n' Bake
95,7,All Aboard the Achane,All Aboard the Achane
96,7,Allen the Family 🦬,Allen the Family 🦬
97,7,Sutton Ducks,Sutton Ducks
98,7,The Hoodie,The Hoodie
99,8,The Hoodie,The Hoodie
100,8,Sutton Ducks,Sutton Ducks
101,8,Allen the Family 🦬,Allen the Family 🦬
102,8,All Aboard the Achane,All Aboard the Achane
103,8,Shake n' Bake,Shake n' Bake
104,8,I’m Sorry Smith-Jaxon,I’m Sorry Smith-Jaxon
105,8,Pukachu,Pukachu
106,8,Andrews Hall Pass,Andrews Hall Pass
107,8,Tyreek’s Left Knee,Tyreek’s Left Knee
108,8,Griddy Little Liars,Griddy Little Liars
109,8,Couch Potatoes,The Hoodie
110,8,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
111,8,Let Kelce Cook,Let Kelce Cook
112,8,Let's Ride,Let's Ride
113,9,Let's Ride,Let's Ride
114,9,Let Kelce Cook,Let Kelce Cook
115,9,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
116,9,Couch Potatoes,Couch Potatoes
117,9,Griddy Little Liars,Griddy Little Liars
118,9,Tyreek’s Left Knee,Tyreek’s Left Knee
119,9,Andrews Hall Pass,Andrews Hall Pass
120,9,Pukachu,Pukachu
121,9,I’m Sorry Smith-Jaxon,I’m Sorry Smith-Jaxon
122,9,Shake n' Bake,Shake n' Bake
123,9,All Aboard the Achane,All Aboard the Achane
124,9,Allen the Family 🦬,Allen the Family 🦬
125,9,Sutton Ducks,Sutton Ducks
126,9,The Hoodie,The Hoodie
127,10,The Hoodie,The Hoodie
128,10,Sutton Ducks,Sutton Ducks
129,10,Allen the Family 🦬,Allen the Family 🦬
130,10,All Aboard the Achane,All Aboard the Achane
131,10,Shake n' Bake,Shake n' Bake
132,10,I’m Sorry Smith-Jaxon,I’m Sorry Smith-Jaxon
133,10,Pukachu,Pukachu
134,10,Andrews Hall Pass,Griddy Little Liars
135,10,Tyreek’s Left Knee,Tyreek’s Left Knee
