pick_number,round,orig_owner,team
1,1,Allen the Family 🦬,Allen the Family 🦬
2,1,Andrews Hall Pass,Let's Ride
3,1,Couch Potatoes,Couch Potatoes
4,1,Griddy Little Liars,Griddy Little Liars
5,1,I’m Sorry Smith-Jaxon,I’m Sorry Smith-Jaxon
6,1,Let Kelce Cook,Let Kelce Cook
7,1,Let's Ride,Let's Ride
8,1,All Aboard the Achane,All Aboard the Achane
9,1,Pukachu,Couch Potatoes
10,1,Shake n' Bake,Shake n' Bake
11,1,Sutton Ducks,Sutton Ducks
12,1,The Hoodie,The Hoodie
13,1,Tyreek’s Left Knee,Tyreek’s Left Knee
14,1,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
15,2,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
16,2,Tyreek’s Left Knee,Tyreek’s Left Knee
17,2,The Hoodie,The Hoodie
18,2,Sutton Ducks,Sutton Ducks
19,2,Shake n' Bake,Shake n' Bake
20,2,Pukachu,Pukachu
21,2,All Aboard the Achane,All Aboard the Achane
22,2,Let's Ride,Let's Ride
23,2,Let Kelce Cook,Let Kelce Cook
24,2,I’m Sorry Smith-Jaxon,I’m Sorry Smith-Jaxon
25,2,Griddy Little Liars,Griddy Little Liars
26,2,Couch Potatoes,Couch Potatoes
27,2,Andrews Hall Pass,Andrews Hall Pass
28,2,Allen the Family 🦬,Allen the Family 🦬
29,3,Allen the Family 🦬,Allen the Family 🦬
30,3,Andrews Hall Pass,Andrews Hall Pass
31,3,Couch Potatoes,Couch Potatoes
32,3,Griddy Little Liars,Griddy Little Liars
33,3,I’m Sorry Smith-Jaxon,I’m Sorry Smith-Jaxon
34,3,Let Kelce Cook,Let Kelce Cook
35,3,Let's Ride,Let's Ride
36,3,All Aboard the Achane,All Aboard the Achane
37,3,Pukachu,Let's Ride
38,3,Shake n' Bake,Shake n' Bake
39,3,Sutton Ducks,Sutton Ducks
40,3,The Hoodie,Couch Potatoes
41,3,Tyreek’s Left Knee,Tyreek’s Left Knee
42,3,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
43,4,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
44,4,Tyreek’s Left Knee,Tyreek’s Left Knee
45,4,The Hoodie,Let's Ride
46,4,Sutton Ducks,Sutton Ducks
47,4,Shake n' Bake,Shake n' Bake
48,4,Pukachu,Pukachu
49,4,All Aboard the Achane,All Aboard the Achane
50,4,Let's Ride,Let's Ride
51,4,Let Kelce Cook,Let Kelce Cook
52,4,I’m Sorry Smith-Jaxon,I’m Sorry Smith-Jaxon
53,4,Griddy Little Liars,Griddy Little Liars
54,4,Couch Potatoes,Couch Potatoes
55,4,Andrews Hall Pass,Andrews Hall Pass
56,4,Allen the Family 🦬,Allen the Family 🦬
