Team,Player,DraftPickCost
The Talented(ish) Mr. Ridley,Justin Fields,11.0
Greg & Gus Drive the Bus,Jameson Williams,5.0
Couch Potatoes,Kyler Murray,11.0
Couch Potatoes,Brian Thomas Jr.,5.0
Couch Potatoes,Chase Brown,3.0
All Aboard the Achane,De'Von Achane,5.0
All Aboard the Achane,T.J. Hockenson,9.0
Pukachu,Jayden Daniels,4.0
Pukachu,Puka Nacua,8.0
Pukachu,Ladd McConkey,5.0
Let's Ride,Brock Bowers,5.0
Let's Ride,Xavier Worthy,4.0
Purdy Fly For A Najee Warrior,Kenneth Walker III,2.0
Kirk’s Cousin's,Darnell Mooney,13.0
Kirk’s Cousin's,Courtland Sutton,5.0
Kirk’s Cousin's,Rashee Rice,7.0
Kyrenning Up That Hill,Kyren Williams,11.0
Kyrenning Up That Hill,Jaxon Smith-Njigba,3.0
Love Thy Nabers,Nico Collins,7.0
The Hoodie,Calvin Ridley,9.0
The Hoodie,Ricky Pearsall,12.0
The Mostert Mash,Garrett Wilson,7.0
Wherefore Art Thou Ws?,Chuba Hubbard,6.0
Yard Sale…”Everything Must Go”,Josh Downs,9.0
Yard Sale…”Everything Must Go”,Bucky Irving,10.0
Yard Sale…”Everything Must Go”,Marvin Mims Jr.,11.0
