FTeam,Player,TeamAbbr,Position,DraftRound,DraftPick,LastYearRank,ProjRank,DraftPickCost,pick_number,Upd_ProjRank
All Aboard the Achane,De'Von Achane,Mia,RB,5.0,5.0,19,17.0,3.0,36.0,17.0
Allen the Family 🦬,Garrett Wilson,NYJ,WR,7.0,8.0,246,36.0,5.0,57.0,36.0
Andrews Hall Pass,Nico Collins,Hou,WR,7.0,11.0,64,18.0,5.0,55.0,18.0
Andrews Hall Pass,Bucky Irving,TB,RB,10.0,8.0,169,50.0,8.0,111.0,50.0
Couch Potatoes,Jaxson Dart,NYG,QB,15.0,4.0,26,107.0,13.0,171.0,107.0
I’m Sorry Smith-Jaxon,Kyren Williams,LAR,RB,11.0,14.0,37,27.0,9.0,117.0,27.0
Let Kelce Cook,Cam Skattebo,NYG,RB,8.0,2.0,178,48.0,6.0,79.0,48.0
Let's Ride,Brock Bowers,LV,TE,5.0,6.0,132,19.0,3.0,37.0,19.0
Pukachu,Puka Nacua,LAR,WR,8.0,3.0,17,4.0,6.0,76.0,4.0
Sutton Ducks,Chris Olave,NO,WR,5.0,13.0,42,24.0,3.0,39.0,24.0
Sutton Ducks,Rashee Rice,KC,WR,7.0,2.0,167,39.0,5.0,67.0,39.0
The Hoodie,Javonte Williams,Dal,RB,8.0,14.0,40,29.0,6.0,78.0,29.0
Tyreek’s Left Knee,Kyle Pitts Sr.,Atl,TE,12.0,5.0,90,79.0,10.0,128.0,79.0
Tyreek’s Left Knee,Trevor Lawrence,Jax,QB,14.0,5.0,4,80.0,12.0,156.0,80.0
Wherefore Art Thou Ws?,Rhamondre Stevenson,NE,RB,10.0,2.0,95,62.0,8.0,99.0,62.0
Wherefore Art Thou Ws?,Justin Herbert,LAC,QB,10.0,6.0,12,75.0,8.0,99.0,75.0
Wherefore Art Thou Ws?,Rico Dowdle,Pit,RB,12.0,6.0,59,86.0,10.0,127.0,86.0
All Aboard the Achane,Quinshon Judkins,Cle,RB,7.0,7.0,106,56.0,5.0,64.0,50.0
I’m Sorry Smith-Jaxon,Jared Goff,Det,QB,13.0,12.0,8,117.0,11.0,145.0,115.0
Let Kelce Cook,Wan'Dale Robinson,Ten,WR,12.0,4.0,83,109.0,10.0,135.0,107.0
Sutton Ducks,Travis Etienne Jr.,NO,RB,6.0,13.0,38,40.0,4.0,46.0,34.0
