Pick,Player Name,Team,Pos
1,Christian McCaffrey,SF,RB
2,Tyreek Hill,MIA,WR
3,CeeDee Lamb,DAL,WR
4,Breece Hall,NYJ,RB
5,Bijan Robinson,ATL,RB
6,Ja'Marr Chase,CIN,WR
7,Justin Jefferson,MIN,WR
8,Amon-Ra St. Brown,DET,WR
9,A.J. Brown,PHI,WR
10,Saquon Barkley,PHI,RB
11,Jahmyr Gibbs,DET,RB
12,Derrick Henry,BAL,RB
13,Marvin Harrison Jr.,ARI,WR
14,Davante Adams,LV,WR
15,Travis Kelce,KC,TE
16,Josh Allen,BUF,QB
17,Patrick Mahomes II,KC,QB
18,Josh Jacobs,GB,RB
19,Deebo Samuel Sr.,SF,WR
20,Brandon Aiyuk,SF,WR
21,Jalen Hurts,PHI,QB
22,Cooper Kupp,LAR,WR
23,Lamar Jackson,BAL,QB
24,Joe Mixon,HOU,RB
25,Jonathan Taylor,IND,RB
26,Rachaad White,TB,RB
27,DK Metcalf,SEA,WR
28,DJ Moore,CHI,WR
29,Jaylen Waddle,MIA,WR
30,Isiah Pacheco,KC,RB
31,James Cook,BUF,RB
32,C.J. Stroud,HOU,QB
33,Michael Pittman Jr.,IND,WR
34,Anthony Richardson,IND,QB
35,Stefon Diggs,HOU,WR
36,Trey McBride,ARI,TE
37,Mark Andrews,BAL,TE
38,DeVonta Smith,PHI,WR
39,Alvin Kamara,NO,RB
40,David Montgomery,DET,RB
41,George Kittle,SF,TE
42,Drake London,ATL,WR
43,Amari Cooper,CLE,WR
44,Aaron Jones,MIN,RB
45,Kenneth Walker III,SEA,RB
46,Mike Evans,TB,WR
47,Joe Burrow,CIN,QB
48,James Conner,ARI,RB
49,Malik Nabers,NYG,WR
50,Kyle Pitts,ATL,TE
51,Rhamondre Stevenson,NE,RB
52,Tee Higgins,CIN,WR
53,Dak Prescott,DAL,QB
54,George Pickens,PIT,WR
55,Zay Flowers,BAL,WR
56,Najee Harris,PIT,RB
57,Zamir White,LV,RB
58,Evan Engram,JAC,TE
59,Jordan Love,GB,QB
60,D'Andre Swift,CHI,RB
61,Terry McLaurin,WAS,WR
62,Jake Ferguson,DAL,TE
63,Travis Etienne Jr.,JAC,RB
64,Christian Kirk,JAC,WR
65,Keenan Allen,CHI,WR
66,Chris Godwin,TB,WR
67,Tony Pollard,TEN,RB
68,David Njoku,CLE,TE
69,Diontae Johnson,CAR,WR
70,Jaylen Warren,PIT,RB
71,Devin Singletary,NYG,RB
72,Zack Moss,CIN,RB
73,Nick Chubb,CLE,RB
74,Hollywood Brown,KC,WR
75,San Francisco 49ers,DST,DST
76,Rome Odunze,CHI,WR
77,Jayden Daniels,WAS,QB
78,Javonte Williams,DEN,RB
79,Jared Goff,DET,QB
80,Raheem Mostert,MIA,RB
81,Baltimore Ravens,DST,DST
82,Tyjae Spears,TEN,RB
83,Austin Ekeler,WAS,RB
84,Justin Tucker,BAL,K
85,Brian Robinson Jr.,WAS,RB
86,Dallas Goedert,PHI,TE
87,New York Jets,DST,DST
88,Sam LaPorta,DET,TE
89,Caleb Williams,CHI,QB
90,Xavier Worthy,KC,WR
91,Brock Bowers,LV,TE
92,Dallas Cowboys,DST,DST
93,Christian Watson,GB,WR
94,De'Von Achane,MIA,RB
95,Brandon Aubrey,DAL,K
96,Jonathon Brooks,CAR,RB
97,Jordan Addison,MIN,WR
98,Harrison Butker,KC,K
99,DeAndre Hopkins,TEN,WR
100,Ezekiel Elliott,DAL,RB
101,Brock Purdy,SF,QB
102,Jaxon Smith-Njigba,SEA,WR
103,Chase Brown,CIN,RB
104,Cleveland Browns,DST,DST
105,Trey Benson,ARI,RB
106,Courtland Sutton,DEN,WR
107,Kansas City Chiefs,DST,DST
108,Russell Wilson,PIT,QB
109,Dalton Schultz,HOU,TE
110,Ladd McConkey,LAC,WR
111,Jerome Ford,CLE,RB
112,Dalton Kincaid,BUF,TE
113,Nico Collins,HOU,WR
114,Bo Nix,DEN,QB
115,Gus Edwards,LAC,RB
116,Jake Elliott,PHI,K
117,Garrett Wilson,NYJ,WR
118,Jayden Reed,GB,WR
119,Trevor Lawrence,JAC,QB
120,Pittsburgh Steelers,DST,DST
121,Brian Thomas Jr.,JAC,WR
122,Rashee Rice,KC,WR
123,Jonnu Smith,MIA,TE
124,Jake Moody,SF,K
125,Jason Sanders,MIA,K
