Round,Orig Pick Owner,Owned By
1,All Aboard the Achane,All Aboard the Achane
1,Couch Potatoes,Couch Potatoes
1,Greg & Gus Drive the Bus,Greg & Gus Drive the Bus
1,Kirk’s Cousin's,Kirk’s Cousin's
1,Let's Ride,Let's Ride
1,Kyrenning Up That Hill,Pukachu
1,Pukachu,Pukachu
1,Purdy Fly For A Najee Warrior,Purdy Fly For A Najee Warrior
1,The Hoodie,The Hoodie
1,The Mostert Mash,The Mostert Mash
1,The Talented(ish) Mr. Ridley,The Talented(ish) Mr. Ridley
1,Love Thy Nabers,The Talented(ish) Mr. Ridley
1,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
1,Yard Sale…”Everything Must Go”,Yard Sale…”Everything Must Go”
2,All Aboard the Achane,All Aboard the Achane
2,Couch Potatoes,Couch Potatoes
2,Greg & Gus Drive the Bus,Greg & Gus Drive the Bus
2,Kirk’s Cousin's,Kirk’s Cousin's
2,Let's Ride,Let's Ride
2,Love Thy Nabers,Love Thy Nabers
2,Kyrenning Up That Hill,Pukachu
2,Pukachu,Pukachu
2,Purdy Fly For A Najee Warrior,Purdy Fly For A Najee Warrior
2,The Mostert Mash,The Mostert Mash
2,The Talented(ish) Mr. Ridley,The Talented(ish) Mr. Ridley
2,The Hoodie,The Talented(ish) Mr. Ridley
2,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
2,Yard Sale…”Everything Must Go”,Yard Sale…”Everything Must Go”
3,All Aboard the Achane,All Aboard the Achane
3,Pukachu,All Aboard the Achane
3,Couch Potatoes,Couch Potatoes
3,Greg & Gus Drive the Bus,Greg & Gus Drive the Bus
3,Kirk’s Cousin's,Kirk’s Cousin's
3,Kyrenning Up That Hill,Kyrenning Up That Hill
3,Let's Ride,Let's Ride
3,The Hoodie,Let's Ride
3,Love Thy Nabers,Love Thy Nabers
3,Purdy Fly For A Najee Warrior,Purdy Fly For A Najee Warrior
3,The Mostert Mash,The Mostert Mash
3,The Talented(ish) Mr. Ridley,The Talented(ish) Mr. Ridley
3,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
3,Yard Sale…”Everything Must Go”,Yard Sale…”Everything Must Go”
4,Couch Potatoes,Couch Potatoes
4,Greg & Gus Drive the Bus,Greg & Gus Drive the Bus
4,Kirk’s Cousin's,Kirk’s Cousin's
4,Kyrenning Up That Hill,Kyrenning Up That Hill
4,The Hoodie,Let's Ride
4,Love Thy Nabers,Love Thy Nabers
4,Pukachu,Pukachu
4,Purdy Fly For A Najee Warrior,Purdy Fly For A Najee Warrior
4,The Mostert Mash,The Mostert Mash
4,The Talented(ish) Mr. Ridley,The Talented(ish) Mr. Ridley
4,All Aboard the Achane,The Talented(ish) Mr. Ridley
4,Wherefore Art Thou Ws?,The Talented(ish) Mr. Ridley
4,Let's Ride,Yard Sale…”Everything Must Go”
4,Yard Sale…”Everything Must Go”,Yard Sale…”Everything Must Go”
5,The Talented(ish) Mr. Ridley,All Aboard the Achane
5,Couch Potatoes,Couch Potatoes
5,Greg & Gus Drive the Bus,Greg & Gus Drive the Bus
5,All Aboard the Achane,Kirk’s Cousin's
5,Kirk’s Cousin's,Kirk’s Cousin's
5,Kyrenning Up That Hill,Kyrenning Up That Hill
5,Let's Ride,Let's Ride
5,Love Thy Nabers,Love Thy Nabers
5,Pukachu,Pukachu
5,Purdy Fly For A Najee Warrior,Purdy Fly For A Najee Warrior
5,The Hoodie,The Hoodie
5,The Mostert Mash,The Mostert Mash
5,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
5,Yard Sale…”Everything Must Go”,Yard Sale…”Everything Must Go”
6,Couch Potatoes,Couch Potatoes
6,Greg & Gus Drive the Bus,Greg & Gus Drive the Bus
6,Kirk’s Cousin's,Kirk’s Cousin's
6,Let's Ride,Kyrenning Up That Hill
6,Kyrenning Up That Hill,Let's Ride
6,Pukachu,Pukachu
6,Purdy Fly For A Najee Warrior,Purdy Fly For A Najee Warrior
6,The Hoodie,The Hoodie
6,The Mostert Mash,The Mostert Mash
6,The Talented(ish) Mr. Ridley,The Talented(ish) Mr. Ridley
6,All Aboard the Achane,The Talented(ish) Mr. Ridley
6,Love Thy Nabers,The Talented(ish) Mr. Ridley
6,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
6,Yard Sale…”Everything Must Go”,Yard Sale…”Everything Must Go”
7,The Talented(ish) Mr. Ridley,All Aboard the Achane
7,Couch Potatoes,Couch Potatoes
7,Let's Ride,Couch Potatoes
7,Greg & Gus Drive the Bus,Greg & Gus Drive the Bus
7,Kirk’s Cousin's,Kirk’s Cousin's
7,Kyrenning Up That Hill,Kyrenning Up That Hill
7,Love Thy Nabers,Love Thy Nabers
7,All Aboard the Achane,Pukachu
7,Pukachu,Pukachu
7,Purdy Fly For A Najee Warrior,Purdy Fly For A Najee Warrior
7,The Hoodie,The Hoodie
7,The Mostert Mash,The Mostert Mash
7,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
7,Yard Sale…”Everything Must Go”,Yard Sale…”Everything Must Go”
8,All Aboard the Achane,All Aboard the Achane
8,Greg & Gus Drive the Bus,Greg & Gus Drive the Bus
8,Kirk’s Cousin's,Kirk’s Cousin's
8,Kyrenning Up That Hill,Kyrenning Up That Hill
8,Let's Ride,Let's Ride
8,Couch Potatoes,Love Thy Nabers
8,Love Thy Nabers,Love Thy Nabers
8,Pukachu,Pukachu
8,Purdy Fly For A Najee Warrior,Purdy Fly For A Najee Warrior
8,The Hoodie,The Hoodie
8,The Mostert Mash,The Mostert Mash
8,The Talented(ish) Mr. Ridley,The Talented(ish) Mr. Ridley
8,Wherefore Art Thou Ws?,Wherefore Art Thou Ws?
8,Yard Sale…”Everything Must Go”,Yard Sale…”Everything Must Go”
9,All Aboard the Achane,All Aboard the Achane
9,Couch Potatoes,Couch Potatoes
9,Greg & Gus Drive the Bus,Greg & Gus Drive the Bus
9,Kirk’s Cousin's,Kirk’s Cousin's
9,Let's Ride,Let's Ride
9,Love Thy Nabers,Love Thy Nabers
9,Kyrenning Up That Hill,Pukachu
9,Pukachu,Pukachu
9,Purdy Fly For A Najee Warrior,Purdy Fly For A Najee Warrior
9,The Hoodie,The Hoodie
