FTeam,Player,TeamAbbr,Position,DraftRound,DraftPick,LastYearRank,ProjRank
Shake n' Bake,Baker Mayfield,TB,QB,6.0,2.0,16,137
Shake n' Bake,Ja'Marr Chase,Cin,WR,1.0,1.0,33,3
Shake n' Bake,Justin Jefferson,Min,WR,1.0,3.0,100,13
Shake n' Bake,D'Andre Swift,Chi,RB,4.0,2.0,51,42
Shake n' Bake,Ashton Jeanty,LV,RB,1.0,11.0,43,21
Shake n' Bake,Tyler Warren,Ind,TE,6.0,4.0,115,46
Shake n' Bake,Mike Evans,SF,WR,2.0,10.0,268,60
Shake n' Bake,Marvin Harrison Jr.,Ari,WR,3.0,5.0,196,68
Shake n' Bake,TreVeyon Henderson,NE,RB,2.0,14.0,66,65
Shake n' Bake,DK Metcalf,Pit,WR,4.0,6.0,103,76
Shake n' Bake,Woody Marks,Hou,RB,10.0,11.0,139,130
Shake n' Bake,Oronde Gadsden,LAC,TE,,,199,217
Shake n' Bake,Andy Borregales,NE,K,,,126,284
Shake n' Bake,Eagles,Phi,DEF,9.0,14.0,57,170
Shake n' Bake,Broncos,Den,DEF,8.0,10.0,47,163
All Aboard the Achane,Jalen Hurts,Phi,QB,2.0,7.0,10,63
All Aboard the Achane,Jaylen Waddle,Den,WR,4.0,11.0,97,33
All Aboard the Achane,Terry McLaurin,Was,WR,3.0,8.0,215,47
All Aboard the Achane,James Cook III,Buf,RB,2.0,4.0,20,9
All Aboard the Achane,De'Von Achane,Mia,RB,5.0,5.0,19,17
All Aboard the Achane,Colston Loveland,Chi,TE,9.0,5.0,147,38
All Aboard the Achane,Amon-Ra St. Brown,Det,WR,1.0,13.0,27,7
All Aboard the Achane,Travis Kelce,KC,TE,5.0,11.0,110,118
All Aboard the Achane,Colby Parkinson,LAR,TE,,,192,247
All Aboard the Achane,Quinshon Judkins,Cle,RB,7.0,7.0,106,56
All Aboard the Achane,Davante Adams,LAR,WR,3.0,12.0,62,55
All Aboard the Achane,Harrison Mevis,LAR,K,,,243,252
All Aboard the Achane,Saints,NO,DEF,,,65,289
All Aboard the Achane,Rams,LAR,DEF,,,61,155
All Aboard the Achane,Packers,GB,DEF,13.0,13.0,142,240
Couch Potatoes,Jacoby Brissett,Ari,QB,,,24,209
Couch Potatoes,A.J. Brown,NE,WR,2.0,6.0,76,23
Couch Potatoes,Michael Wilson,Ari,WR,14.0,8.0,75,90
Couch Potatoes,Emanuel Wilson,Sea,RB,,,233,258
Couch Potatoes,Jacory Croskey-Merritt,Was,RB,7.0,1.0,150,91
Couch Potatoes,Brenton Strange,Jax,TE,,,216,174
Couch Potatoes,Brian Thomas Jr.,Jax,WR,5.0,4.0,181,73
Couch Potatoes,Kimani Vidal,LAC,RB,,,190,213
Couch Potatoes,Devin Neal,NO,RB,,,312,319
Couch Potatoes,Isaiah Likely,NYG,TE,,,324,120
Couch Potatoes,Jaxson Dart,NYG,QB,15.0,4.0,26,107
Couch Potatoes,Tory Horton,Sea,WR,13.0,4.0,290,297
Couch Potatoes,Brian Robinson,Atl,RB,11.0,9.0,291,162
Couch Potatoes,Eddy Pineiro,SF,K,,,148,220
Couch Potatoes,49ers,SF,DEF,14.0,11.0,172,260
Tyreek’s Left Knee,Trevor Lawrence,Jax,QB,14.0,5.0,4,80
Tyreek’s Left Knee,George Pickens,Dal,WR,4.0,5.0,36,22
Tyreek’s Left Knee,Jameson Williams,Det,WR,5.0,10.0,67,49
Tyreek’s Left Knee,Zach Charbonnet,Sea,RB,6.0,5.0,84,148
Tyreek’s Left Knee,Christian McCaffrey,SF,RB,1.0,10.0,7,6
