Player,Team,Position,Roster Status,GP*,Bye,Fan Pts,Pre-Season,Actual,% Ros,Yds,TD,Int,Att*,Yds_2,TD_2,Tgt*,Rec,Yds_3,TD_3,TD_4,2PT,Lost
Jahmyr Gibbs,Det,RB,The Hoodie,16,6,318.22,1,1,100%,-,-,-,281,1386,12.9,80.7,63.3,516,3.2,-,1.0,1.1
Bijan Robinson,Atl,RB,Sutton Ducks,16,11,311.43,2,2,100%,-,-,-,290,1348,9.8,86.7,67.6,632,3.7,-,1.0,1.6
Ja'Marr Chase,Cin,WR,Shake n' Bake,16,6,271.99,3,3,100%,-,-,-,3.7,19.4,0.1,172,121,1444,10.6,-,0.7,0.3
Puka Nacua,LAR,WR,Pukachu,15,11,259.91,4,4,100%,-,-,-,12.0,79.6,0.6,157,113,1443,8.2,-,0.1,0.8
Jonathan Taylor,Ind,RB,Andrews Hall Pass,15,13,273.56,5,5,100%,-,-,-,308,1444,11.2,46.5,39.2,321,1.8,-,0.9,1.0
Christian McCaffrey,SF,RB,Tyreek’s Left Knee,15,8,270.07,6,6,100%,-,-,-,237,956,8.8,89.7,68.8,607,4.5,-,0.9,1.1
Amon-Ra St. Brown,Det,WR,All Aboard the Achane,16,6,254.90,7,7,100%,-,-,-,2.9,14.0,0.0,159,113,1345,10.2,-,0.7,0.2
Jaxon Smith-Njigba,Sea,WR,I’m Sorry Smith-Jaxon,16,11,261.43,8,8,100%,-,-,-,7.1,38.4,0.1,156,108,1495,8.9,-,0.2,0.3
James Cook III,Buf,RB,All Aboard the Achane,16,7,242.74,9,9,100%,-,-,-,267,1308,8.8,45.7,35.2,290,2.2,-,0.8,1.1
Saquon Barkley,Phi,RB,Pukachu,15,10,222.10,10,10,100%,-,-,-,272,1146,7.9,52.9,37.7,301,2.2,-,0.3,1.1
Kenneth Walker III,KC,RB,Griddy Little Liars,15,5,220.38,11,11,100%,-,-,-,242,1057,7.8,53.9,43.2,365,1.7,-,0.8,0.8
CeeDee Lamb,Dal,WR,Andrews Hall Pass,16,14,229.76,12,12,100%,-,-,-,3.2,15.1,0.1,145,99.3,1313,7.8,-,0.1,0.2
